id;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. FONASA;RX COLORECTAL. NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
62;110;110;64;64;74;74;74;74;74;74;74;74;199;199;315;315;321;321;404;404;444;444;29;29;128;128;211;211;211;211;86;86;86;86;126;126;745;745;244;244;192;192
264;116;116;61;61;72;72;72;72;72;72;72;72;194;194;113;113;193;193;220;220;239;239;72;72;295;295;196;196;368;368;245;245;245;245;368;368;614;614;442;442;433;433
567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
769;58;106;58;58;77;77;75;75;75;75;75;75;110;110;181;181;244;244;409;409;325;325;77;77;103;103;86;86;86;86;86;86;86;86;86;86;296;296;296;296;301;301
1062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1210;101;101;58;58;0;74;0;0;0;74;0;74;0;210;211;211;282;282;494;494;390;390;74;74;650;650;186;186;531;531;186;186;186;186;680;680;747;747;650;650;567;567
2315;110;110;58;58;74;74;74;74;74;74;77;77;234;234;213;213;229;229;354;354;230;230;0;0;180;180;180;180;180;180;151;151;151;151;151;151;244;244;800;800;514;514
3567;110;110;55;55;74;74;20;20;74;74;74;74;88;88;131;131;204;204;207;207;243;243;74;74;118;118;57;153;57;153;21;39;57;75;57;75;244;800;244;396;321;321
4315;115;115;0;64;74;74;74;74;74;74;74;74;168;168;220;220;268;268;448;448;87;87;74;74;406;406;245;245;245;245;86;86;86;86;125;125;800;800;465;465;316;316
4810;102;102;50;50;65;65;20;20;0;0;65;65;97;97;102;102;102;102;123;123;191;191;0;0;118;118;98;98;210;210;98;98;98;98;98;98;244;244;244;244;326;326
5012;95;95;64;64;75;75;75;75;75;75;75;75;140;140;186;186;197;197;443;443;274;274;75;75;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;275;275
5163;87;110;57;57;50;50;0;0;52;52;52;52;80;80;148;148;160;160;246;246;232;232;29;29;147;147;89;89;258;258;58;58;58;58;70;70;437;437;437;437;246;246
5315;89;89;0;0;75;75;40;40;40;40;40;40;121;121;147;147;208;208;421;421;232;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;128
5517;146;146;64;64;75;75;75;75;75;75;75;75;189;189;335;335;307;307;462;462;307;307;75;75;408;408;314;314;800;800;239;239;239;239;671;671;800;800;698;698;687;687
5810;128;128;59;59;0;75;0;0;0;75;0;75;0;144;0;223;259;259;414;414;259;259;0;75;276;276;110;110;331;331;51;51;51;51;51;51;276;276;276;276;319;319
5961;163;163;59;59;75;75;75;75;75;75;78;78;196;196;321;321;321;321;465;465;321;321;75;75;408;408;274;274;656;656;274;274;274;274;408;408;800;800;800;800;613;613
6012;131;131;64;64;76;76;0;76;76;76;78;78;222;222;275;275;313;313;435;435;0;0;76;76;381;381;381;381;800;800;220;220;220;220;220;220;800;800;800;800;288;573
