id,Promedio de tiempo de espera para Medicina General,Promedio de tiempo de espera para Medicina General,Promedio de tiempo de espera para Pediatría,Promedio de tiempo de espera para Pediatría,Promedio de tiempo de espera para Cirugía General,Promedio de tiempo de espera para Cirugía General,Promedio de tiempo de espera para Ginecotocología,Promedio de tiempo de espera para Ginecotocología,Promedio de tiempo de espera para Médico de Referencia de Medicina General,Promedio de tiempo de espera para Médico de Referencia de Medicina General
6860,0.09,0,1.11,0,2.53,0,3.84,1,0.11,0
5961,0.35,0,0.54,0,1.3,0,0.94,0,2.99,0
6012,0.46,0,0.74,0,3.65,0,2.5,0,1.18,0
5517,0.01,0,0.04,0,1.25,0,0.07,0,3.14,0
2315,0.18,0,0.28,0,0.72,0,0.29,1,3.5,0
8264,0.05,0,0.26,0,2.05,0,0.26,1,0,0
9516,0.83,0,0.77,0,0.85,0,0,0,0.83,0
567,0,1,0,1,1.61,0,0.62,1,15.15,0
1210,1.05,0,0.56,1,1.41,0,0.45,1,0.64,1
7719,0.86,1,0.69,1,0.81,0,1.89,0,1.23,1
5315,0.11,0,0.57,1,1.24,0,0.74,1,14.3,0
9532,0.11,1,0.05,0,0.32,0,0.06,1,0.12,1
9518,0.21,0,0.13,0,1.03,0,1.54,0,0.09,0
4810,0.02,0,0.01,0,0.35,0,0.03,0,6.36,0
769,0.17,0,0.15,0,0.41,1,0.1,0,14.46,0
6517,0.19,0,0.41,0,1.41,0,0.92,0,0.2,0
9526,0.39,0,0.55,0,1.58,0,0.81,0,0.39,0
9502,0.03,0,0,0,0.26,0,0.46,1,0.02,0
1062,0.01,0,0.03,0,0.1,0,0.51,0,3.17,0
3567,0.02,0,0.08,0,1.3,0,0.96,0,7.61,0
6062,0.12,0,0.41,0,1.48,0,0.57,0,0.66,0
7062,1.46,0,1.38,0,0.94,1,3.73,0,21.87,0
5810,0.02,0,0.11,0,0.48,0,0.44,0,2.74,0
8012,0.28,0,0.68,0,2.65,0,0.95,0,0.31,0
62,1,0,1,0,1,0,1,0,1,0
4315,0.01,0,0.01,0,0.35,1,0.1,0,20.4,0
6769,0.28,0,1.02,0,0.61,0,3.81,0,1.5,0
264,0.49,0,0.71,0,1.14,0,0.74,0,11.56,0
8163,1.23,0,0.07,0,0.23,0,0.6,0,13.97,0
7810,0.56,0,7.43,0,7.94,0,11.06,0,1.34,0
5163,0.02,0,0.09,0,3.19,0,7.84,0,2.54,0
6416,0.06,0,0.81,0,1.61,0,3.86,0,0.15,0
7466,0,0,0.06,1,0.96,1,0.7,1,7.87,0
6618,0.15,0,0.97,0,1.15,0,0.94,0,3.19,0
7618,0.03,0,0.05,0,0.85,1,0.04,1,4.64,0
5012,0.3,0,0.31,0,0.72,1,0.74,0,2.02,0
7553,0.04,0,0.54,1,5.97,0,0.33,1,5.94,0
9508,0.24,0,0.14,0,0.87,0,0.21,0,,
8220,,,,,,,,,,
1163,1.11,1,5.82,1,3.37,0,1.03,1,4.32,1
90001,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90002,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90003,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90004,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90005,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90006,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90007,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90008,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90009,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90010,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90011,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90012,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90013,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90014,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90015,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90016,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90017,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90018,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
90019,2.1,2,4.5,2,13.3,2,11.8,2,1.22,2
7264,5.67,0,1.83,0,1.33,0,4,0,3,0
6985,0.77,1,0.93,1,1.44,0,0.6,1,20.7,1
7214,2.79,0,1.07,0,0.77,0,4.5,0,8.48,0
